name,genus,dexNumber,primaryType,colorTheme,hp,heightM,weightKg,flavorText,spriteUrl,showMotionPrompt
bulbasaur,Seed Pokémon,001,grass,green,45,0.7,6.9,A strange seed was planted on its back at birth. The plant sprouts and grows with this POKéMON.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/1.png,true
ivysaur,Seed Pokémon,002,grass,green,60,1.0,13.0,"When the bulb on its back grows large, it appears to lose the ability to stand on its hind legs.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/2.png,true
venusaur,Seed Pokémon,003,grass,green,80,2.0,100.0,The plant blooms when it is absorbing solar energy. It stays on the move to seek sunlight.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/3.png,true
charmander,Lizard Pokémon,004,fire,red,39,0.6,8.5,"Obviously prefers hot places. When it rains, steam is said to spout from the tip of its tail.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/4.png,true
charmeleon,Flame Pokémon,005,fire,red,58,1.1,19.0,"When it swings its burning tail, it elevates the temperature to unbearably high levels.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/5.png,true
charizard,Flame Pokémon,006,fire,red,78,1.7,90.5,Spits fire that is hot enough to melt boulders. Known to cause forest fires unintentionally.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/6.png,true
squirtle,Tiny Turtle Pokémon,007,water,blue,44,0.5,9.0,"After birth, its back swells and hardens into a shell. Powerfully sprays foam from its mouth.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/7.png,true
wartortle,Turtle Pokémon,008,water,blue,59,1.0,22.5,"Often hides in water to stalk unwary prey. For swimming fast, it moves its ears to maintain balance.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/8.png,true
blastoise,Shellfish Pokémon,009,water,blue,79,1.6,85.5,A brutal POKéMON with pressurized water jets on its shell. They are used for high speed tackles.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/9.png,true
caterpie,Worm Pokémon,010,bug,green,45,0.3,2.9,Its short feet are tipped with suction pads that enable it to tirelessly climb slopes and walls.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/10.png,true
metapod,Cocoon Pokémon,011,bug,green,50,0.7,9.9,"This POKéMON is vulnerable to attack while its shell is soft, exposing its weak and tender body.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/11.png,true
butterfree,Butterfly Pokémon,012,bug,white,60,1.1,32.0,"In battle, it flaps its wings at high speed to release highly toxic dust into the air.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/12.png,true
weedle,Hairy Bug Pokémon,013,bug,brown,40,0.3,3.2,"Often found in forests, eating leaves. It has a sharp venomous stinger on its head.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/13.png,true
kakuna,Cocoon Pokémon,014,bug,yellow,45,0.6,10.0,"Almost incapable of moving, this POKéMON can only harden its shell to protect itself from predators.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/14.png,true
beedrill,Poison Bee Pokémon,015,bug,yellow,65,1.0,29.5,It has three poisonous stingers on its forelegs and its tail. They are used to jab its enemy repeatedly.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/15.png,true
pidgey,Tiny Bird Pokémon,016,normal,brown,40,0.3,1.8,A common sight in forests and woods. It flaps its wings at ground level to kick up blinding sand.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/16.png,true
pidgeotto,Bird Pokémon,017,normal,brown,63,1.1,30.0,"Very protective of its sprawling territorial area, this POKéMON will fiercely peck at any intruder.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/17.png,true
pidgeot,Bird Pokémon,018,normal,brown,83,1.5,39.5,"When hunting, it skims the surface of water at high speed to pick off unwary prey such as MAGIKARP.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/18.png,true
rattata,Mouse Pokémon,019,normal,purple,30,0.3,3.5,"Bites anything when it attacks. Small and very quick, it is a common sight in many places.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/19.png,true
raticate,Mouse Pokémon,020,normal,brown,55,0.7,18.5,It uses its whis­ kers to maintain its balance. It apparently slows down if they are cut off.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/20.png,true
spearow,Tiny Bird Pokémon,021,normal,brown,40,0.3,2.0,"It flaps its small wings busily to fly. Using its beak, it searches in grass for prey.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/21.png,true
fearow,Beak Pokémon,022,normal,brown,65,1.2,38.0,"With its huge and magnificent wings, it can keep aloft without ever having to land for rest.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/22.png,true
ekans,Snake Pokémon,023,poison,purple,35,2.0,6.9,"Moves silently and stealthily. Eats the eggs of birds, such as PIDGEY and SPEAROW, whole.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/23.png,true
arbok,Cobra Pokémon,024,poison,purple,60,3.5,65.0,It is rumored that the ferocious warning markings on its belly differ from area to area.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/24.png,true
pikachu,Mouse Pokémon,025,electric,yellow,35,0.4,6.0,"When several of these POKéMON gather, their electricity could build and cause lightning storms.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/25.png,true
raichu,Mouse Pokémon,026,electric,yellow,60,0.8,30.0,Its long tail serves as a ground to protect itself from its own high-voltage power.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/26.png,true
